,logFC,logCPM,PValue,FDR,up_down
AC013553.3,-3.9673433875825,3.59487339215164,3.83617940228655e-18,5.57795239628627e-16,Down
AC004637.1,-5.19296596059778,2.95677078599645,4.67833106044839e-18,6.67412474491515e-16,Down
AC092162.2,-4.09439539942714,3.46294550761832,5.28273149645133e-18,7.39680237864232e-16,Down
AL161457.1,-6.10625608503189,2.30545503456615,1.38823489692735e-17,1.90844437375776e-15,Down
LINC02613,-4.11269871798036,4.54606395315397,1.01589318505016e-16,1.37163720931505e-14,Down
MBNL1-AS1,-3.44761260476982,8.87384639010974,1.38234437885475e-16,1.83366769272294e-14,Down
LINC01985,-4.96609814297697,2.31198821885039,1.88201489966104e-16,2.45343356143744e-14,Down
AP000802.1,-5.08406066323111,2.96075985974306,2.51600842785836e-16,3.22432876661645e-14,Down
Z97989.1,-2.86198133718357,6.34024053069637,3.47477103095968e-16,4.37879062751435e-14,Down
AL135960.1,-3.75355269383509,3.38726382924724,4.41678995305306e-16,5.4746473500056e-14,Down
AL590226.1,-3.67836985267374,3.54923189647655,7.76526736697066e-16,9.46986880026857e-14,Down
AL049838.1,-4.03282229430279,5.68844379834398,1.42334914663848e-15,1.70824490440215e-13,Down
AC027682.6,-3.264953568693,4.83767497605366,1.6427463858643e-15,1.94075084742499e-13,Down
AC093010.3,-2.98170803436413,9.79945850693503,1.90889609764959e-15,2.22048667605054e-13,Down
AP003548.1,-5.21719740899597,2.57077356602945,2.69029761856155e-15,3.08202125665816e-13,Down
AC024337.2,-4.30061073111237,4.83110835230063,3.21372620390658e-15,3.58060133708524e-13,Down
AC020634.2,-4.0154378857317,3.11504681556613,3.22022075018908e-15,3.58060133708524e-13,Down
AC174065.1,-4.12093340588219,2.93546198451865,1.57385758550533e-14,1.72462858029069e-12,Down
AC092667.1,-5.4700551558064,2.87018456308133,1.70275152473576e-14,1.83921489693244e-12,Down
PGM5P4-AS1,-5.50671708862668,2.72022202643665,1.74116140481566e-14,1.85421427912834e-12,Down
LINC01016,-5.42907616375223,4.30301254238671,5.21332927987885e-14,5.47471981738388e-12,Down
AL445423.1,-4.14587677005592,3.40559963679034,7.35749410221413e-14,7.6205497132659e-12,Down
AC012603.1,-2.78777155395284,4.39346112287643,9.12607229547557e-14,9.32462603055281e-12,Down
AC107204.1,-3.98221922178625,3.89933756788395,1.01437811096767e-13,1.02262838627021e-11,Down
AC093278.2,-2.93614122583456,7.45812658230729,1.1516414359721e-13,1.14573169702435e-11,Down
WT1-AS,-4.87542154531968,6.61837885906539,1.3078738923762e-13,1.28426422081253e-11,Down
AC017007.6,-6.68055889340916,2.41828403246325,1.34395315660843e-13,1.30277305347645e-11,Down
AC091057.1,4.95556675332761,10.7506069772074,1.51209407149147e-13,1.43711270105288e-11,Up
AC136475.1,-3.0855839460534,6.00015292718968,1.52055304965257e-13,1.43711270105288e-11,Down
LINC00891,-4.0568544951619,2.85203565178796,1.84667585184475e-13,1.7237921130615e-11,Down
AC067750.1,-2.40981343165406,7.07818341308652,1.97980378063285e-13,1.82552394943475e-11,Down
AC121247.2,-3.3648366809138,3.60286294863258,2.31545844453784e-13,2.10929895170489e-11,Down
LINC00844,-5.30380902579386,2.5334460583726,2.60413629821113e-13,2.344032684616e-11,Down
AC010336.5,-4.39743900353048,2.76694665255413,3.46398582673908e-13,3.0813172748205e-11,Down
LINC02296,-5.9074282006521,2.34127999978049,3.51542097781454e-13,3.0907090713088e-11,Down
ZNF582-AS1,-3.72357710291755,5.4624240895091,5.030100395911e-13,4.32282250755827e-11,Down
LINC00211,-4.21633102048018,2.58062211152973,5.08788972463592e-13,4.32282250755827e-11,Down
AL137026.1,-4.25412045742481,2.90417250847845,5.08836401498064e-13,4.32282250755827e-11,Down
AC087477.2,-3.8421733879218,6.31432797314419,6.56936057393596e-13,5.51899281105887e-11,Down
AC007541.1,-3.15461987795823,6.40692170562274,8.31952807463384e-13,6.91252217278093e-11,Down
KCNIP1-OT1,-4.56123361543721,2.80073931441641,1.02122374091579e-12,8.3929051142003e-11,Down
LINC01140,-3.47102261353979,5.70542299242675,1.11740978110944e-12,9.08466167200911e-11,Down
AL162584.1,-5.64817845802689,2.41506566432112,1.36750885901837e-12,1.09997175351467e-10,Down
AJ011932.1,-4.60995813040471,3.34109513890768,1.47816638609824e-12,1.17646484687251e-10,Down
AF001548.1,-3.69841518351974,3.5667442839644,1.6114954440951e-12,1.26922052633365e-10,Down
LINC02447,-3.08832631212587,4.80943156067469,1.81626730161715e-12,1.41575227500281e-10,Down
AC005746.2,-3.41406913084592,2.90620556197327,2.32585403630281e-12,1.79446758862097e-10,Down
AP003071.3,-4.2457280230776,2.57604905927888,2.62005604749008e-12,2.0010347247548e-10,Down
RERG-IT1,-4.57955497177353,2.72539010454948,3.02035549200905e-12,2.28369078750804e-10,Down
LINC02599,-3.90372015133183,2.92320617213617,3.07198841380754e-12,2.29973310859395e-10,Down
AC048382.5,-2.78051856641818,3.65558602954776,3.59713861867594e-12,2.66646716625576e-10,Down
AL021408.1,-4.52956608819437,3.13128793736333,4.06126233492562e-12,2.98128199168666e-10,Down
AC007998.3,-3.22547568065027,4.16441379016434,5.88649519013704e-12,4.27959520506021e-10,Down
AC009806.1,-3.18387616921698,3.59851297347268,8.04282457419779e-12,5.79159967671519e-10,Down
AC002451.1,-4.38148207670176,3.00922153962706,9.08535335336866e-12,6.480599689134e-10,Down
AC132872.1,-2.02095337329472,8.87344923702369,9.43945528800084e-12,6.67025433949293e-10,Down
AL008718.2,-3.29490637692835,3.53399641214,9.65536202395713e-12,6.75964743177221e-10,Down
LINC01936,-3.76076377832395,4.59650812774194,1.32811203159492e-11,9.16893521515641e-10,Down
MIR202HG,-4.40655195414511,2.30221760627644,1.33392788476022e-11,9.16893521515641e-10,Down
MIR1-1HG-AS1,-4.13956179811216,5.09501869707494,1.62167059629446e-11,1.10463525933175e-09,Down
LAMA4-AS1,-3.6347126107292,3.57213464844001,1.94395268093818e-11,1.31234162683693e-09,Down
LINC02388,-4.40959758679023,2.30109637316706,2.37894799272342e-11,1.59178989141432e-09,Down
CEBPB-AS1,-2.57806698348467,6.71869813428955,3.14207235715635e-11,2.08396570986484e-09,Down
AC147067.2,-3.40453033036593,3.41624436051316,5.9901850278014e-11,3.93841643436578e-09,Down
AC145124.1,-3.35013300258004,4.27258119873896,6.26524357753119e-11,4.08375057669942e-09,Down
LINC00989,-3.99834205450827,3.29331649796656,6.73120093794019e-11,4.34996669160391e-09,Down
LINC02829,-4.02182145791212,2.80897546433806,7.01130203026353e-11,4.49258090261208e-09,Down
SOCS2-AS1,-3.3893035996126,7.62948415213607,7.42302433989457e-11,4.71642748184394e-09,Down
AC026471.2,-2.67414965613259,4.88365217487221,7.79297735840994e-11,4.91022515057813e-09,Down
LINC02310,-4.71939131987622,3.42626549283092,8.83508884486178e-11,5.5208352690909e-09,Down
AC027237.6,-3.21211485673351,3.1069659956146,1.02986966598451e-10,6.38265946271221e-09,Down
AP001363.2,-2.97997000590363,3.95768984423819,1.29833797580229e-10,7.98108409352934e-09,Down
EMX2OS,-4.37267186651697,9.83749159963577,1.88516966570378e-10,1.14949740664405e-08,Down
LINC01352,-3.54233248506009,3.41783009612803,3.01997258323465e-10,1.82672101614698e-08,Down
AC012073.1,3.69900024327908,8.3127448369074,3.70536397818334e-10,2.22351246341621e-08,Up
AP001189.3,-3.5866902914421,4.00829893279124,3.74646359415683e-10,2.2304733256236e-08,Down
EPB41L4A-AS1,-2.18756824253705,10.5208233538005,4.23183425435512e-10,2.49975771852962e-08,Down
MIR100HG,-3.4462709729505,9.60845516762781,5.13587633606352e-10,3.01026054085088e-08,Down
PTPRD-AS1,-4.65459914180635,4.54597238468164,6.73897587537812e-10,3.91949204567184e-08,Down
AC138430.1,-3.61769489751512,2.46647659069916,7.90904238810482e-10,4.5649060684321e-08,Down
AC005070.3,-2.0585740886582,5.68598232127672,9.65555001758441e-10,5.53072830931483e-08,Down
LINC00702,-3.54966286981131,6.22096478472869,1.01510278020455e-09,5.77082114370422e-08,Down
LINC01829,-3.52820055294101,4.17885016328074,1.20698820344206e-09,6.78506892228292e-08,Down
AC012508.2,-4.15989313520665,2.25869672911124,1.21145920448115e-09,6.78506892228292e-08,Down
RAP2C-AS1,-2.31599686781871,6.81772922616979,1.28661659170549e-09,7.15302062491562e-08,Down
CCDC144NL-AS1,-3.83254195952682,7.1942849472227,1.3554160524438e-09,7.42630490762866e-08,Down
AC092802.2,-2.65378701553548,3.91699334126005,1.68108961672901e-09,9.14440186481156e-08,Down
AC026691.1,-2.25724167235228,5.87902125079645,2.04429707224097e-09,1.10406644022957e-07,Down
AL023806.1,-2.46799023074168,3.98914791539179,2.06685881888355e-09,1.10833471840983e-07,Down
AC005165.1,-4.59007971461295,4.28116693781068,2.1617515322162e-09,1.15105657289343e-07,Down
AL031658.1,-3.05368545388928,3.64932895728684,2.62278322266057e-09,1.37714332962059e-07,Down
LOH12CR2,-2.29497298401252,5.98039081886649,3.85924435689448e-09,2.01239631603305e-07,Down
AC027237.5,-2.45415739204991,6.06662804299085,3.93199564800258e-09,2.0362889790786e-07,Down
AC010976.2,-3.23793554510224,4.42002726477246,4.00059037457647e-09,2.05771862735869e-07,Down
AC025809.1,-3.75468230552998,2.81092938414943,4.03177382637142e-09,2.05974607440502e-07,Down
AC092117.1,-2.29421099468579,6.68966168317091,4.30545443455735e-09,2.18480140803276e-07,Down
LINC01788,-4.92247660287845,2.34115095543769,4.50808985104187e-09,2.2723778242485e-07,Down
AC079148.1,-2.29008838428229,4.5435696293682,4.91679533740216e-09,2.46197944013892e-07,Down
AC112715.1,-3.62315625717192,3.09403992523155,5.22794086616038e-09,2.60055663743675e-07,Down
PCOLCE-AS1,-2.75934597000582,4.50868557939899,5.30367430831543e-09,2.62098571537078e-07,Down
AP000911.1,-3.18118685030223,2.72488443326504,5.87272898017673e-09,2.88335739085171e-07,Down
AL158163.2,-2.37513776349334,4.10629117549749,6.05210811044071e-09,2.95225738213176e-07,Down
AC239809.3,-3.30668606464724,3.90609013685312,6.56062095386479e-09,3.16592934946608e-07,Down
AL158055.1,-4.22249332427491,2.44551238895206,6.57387789797876e-09,3.16592934946608e-07,Down
LINC01990,-3.06882477321821,3.31032098399283,6.63990770164383e-09,3.1774900083626e-07,Down
AC025280.1,-4.07992405524849,2.3441603778002,6.752282986137e-09,3.2109441294454e-07,Down
AL133346.1,-3.78251615357395,3.2966578128449,7.37799094160293e-09,3.48656184434124e-07,Down
AC012409.3,-3.73907540568518,3.72564016265426,7.84023526311926e-09,3.68198874685992e-07,Down
AC009812.1,-2.80142710068016,6.17620133827303,9.19910139660796e-09,4.29348183084894e-07,Down
AP001922.6,-2.76860601300838,3.54990641306204,9.80035477399637e-09,4.52251061811892e-07,Down
AL158847.1,-4.05014452586285,2.75129332544087,9.80943977478512e-09,4.52251061811892e-07,Down
C1orf229,-3.26247353311221,4.24899711313776,1.04310279414031e-08,4.77993953120901e-07,Down
AC005618.1,-3.01045766587688,5.06120123427795,1.08535376612757e-08,4.94359025644009e-07,Down
LRRC8C-DT,-2.17044644476286,5.74695003887547,1.24231263498845e-08,5.62462624739379e-07,Down
LINC01799,-4.78568936238083,2.51325559421709,1.4536783908489e-08,6.54241804357649e-07,Down
DNM3OS,-3.05814712173955,8.02673603166746,1.46418572710529e-08,6.55071496014384e-07,Down
AC000403.1,-2.67545492504928,5.79645238813384,1.51497687567055e-08,6.73808244526178e-07,Down
AC040168.1,-4.02559532463475,3.12888430231009,1.95575900283543e-08,8.64765720493489e-07,Down
CPEB1-AS1,-3.35685798127339,3.17053835650832,2.24614837331354e-08,9.8739115410603e-07,Down
AC093424.1,-3.16390941250289,3.05617072326747,2.88094687411529e-08,1.25912365983732e-06,Down
LINC00028,-3.53915705365779,2.45911008811577,3.90406425446757e-08,1.69647297862237e-06,Down
AC019193.2,-2.83077832373125,3.35957750935818,4.03041399023459e-08,1.74136915315221e-06,Down
AC135803.1,-2.89368015299963,5.1443947847308,4.17651633364441e-08,1.79424090901622e-06,Down
AL353746.1,-4.91338773947661,4.68672055597135,4.3864447153873e-08,1.87378014084991e-06,Down
AL731557.1,-3.57461926633688,2.55500028205485,4.80977190411085e-08,2.04307221162821e-06,Down
AC090825.1,-2.88342869549342,4.79189075209898,5.08114494474365e-08,2.14628697917356e-06,Down
LINC00663,-2.01444369404473,7.14505766024164,5.53986145135477e-08,2.32704957964964e-06,Down
LRRK2-DT,-3.31472742306855,4.89632604646639,6.07468672989526e-08,2.53760808644962e-06,Down
AC080038.2,-2.86419054274279,6.05182983762007,6.35966354064562e-08,2.64205582586932e-06,Down
ACVR2B-AS1,-2.29090080194577,6.77854616796101,6.46447137703463e-08,2.67092175310158e-06,Down
AL392048.1,-3.23656094246869,2.90750003220393,7.57778634989808e-08,3.1103194425381e-06,Down
AC092718.4,3.37109972244624,10.4544982026763,7.61022479658179e-08,3.1103194425381e-06,Up
AC027307.3,-2.47102644319368,5.04043563317871,8.03488829503436e-08,3.26622529025563e-06,Down
AC136475.2,-2.29412032561373,5.84833230149613,9.79297217008822e-08,3.91770701471095e-06,Down
AC011481.2,-2.18386428043184,4.20233806007164,1.30952974903365e-07,5.21123917497022e-06,Down
AC024270.4,-2.65671218998826,3.16445033311639,1.44999950021052e-07,5.71012824015194e-06,Down
AC131097.3,-3.53568512597623,3.36406134423915,1.48974056854045e-07,5.78953612694459e-06,Down
AL355297.3,-2.1406972315741,4.55079394479853,1.49313522649675e-07,5.78953612694459e-06,Down
AC027288.3,-2.98124425617181,5.50190898169535,1.50193213110138e-07,5.79393308329466e-06,Down
AL139351.1,-3.7947162060714,4.25087560830069,1.51447457671612e-07,5.81266105307135e-06,Down
AC007671.1,-3.15601392632065,3.00598360591053,1.57956539915702e-07,6.00491588154398e-06,Down
AC025280.2,-3.56696960882882,3.14640031074852,1.58045002040372e-07,6.00491588154398e-06,Down
IGFBP7-AS1,-2.94939792133276,3.4671070330115,1.76761154334419e-07,6.64920939264947e-06,Down
AC010226.1,-2.01838299474701,5.69599372344528,1.86535642391489e-07,6.98215837684183e-06,Down
CDKN2B-AS1,4.6370811779274,8.88912217379394,1.97488032413778e-07,7.35569957182548e-06,Up
AL158211.1,-2.80290931503548,4.17052117334122,2.27347484679787e-07,8.38524064226278e-06,Down
AC129492.4,-2.60479095040598,2.97421109118389,2.52519028138903e-07,9.22365396984658e-06,Down
TFAP2A-AS1,4.10633496857813,7.23923277758626,2.76740103694254e-07,1.0052852521985e-05,Up
AL583856.2,-2.29059540081029,4.0575885876113,2.77879404456402e-07,1.0052852521985e-05,Down
ZIM2-AS1,-3.78018677617859,3.20911909348382,3.15827758746673e-07,1.13713032565885e-05,Down
LINC02731,-3.01136428954523,4.2786738657035,3.21137775676511e-07,1.14911232660209e-05,Down
WDFY3-AS2,-2.17462627024799,7.24669522468713,3.22195229783949e-07,1.14911232660209e-05,Down
BNC2-AS1,-3.37199267581333,4.14618199836654,3.4618989563984e-07,1.22889286428771e-05,Down
AC096921.2,-2.41074022345694,5.6697998099467,3.7869221689238e-07,1.33798684669312e-05,Down
AC005383.1,-2.672044638484,3.99177169404608,3.97982142032849e-07,1.39960138414436e-05,Down
LINC02266,-3.82103855491033,2.77292125262517,4.0769461464995e-07,1.42711989878161e-05,Down
AC100803.4,-2.63145745078977,4.83028953246032,4.3874750359596e-07,1.52874187773689e-05,Down
LDLRAD4-AS1,-4.24463928184173,2.64792623177008,4.42672819754413e-07,1.53534366521244e-05,Down
AC134312.1,-3.05458421255613,3.08831608517013,4.56204425854711e-07,1.5678916654034e-05,Down
AL023803.2,5.14695807650363,6.23636898289551,4.74443326250434e-07,1.62319728044323e-05,Up
LINC01765,-4.15597614825667,3.20707946020981,4.87927940967801e-07,1.66181223498088e-05,Down
FAM53B-AS1,-2.52259432083881,2.84585611124542,5.05111460322345e-07,1.70497667477556e-05,Down
SACS-AS1,-3.98491054650492,2.40620281966694,5.2637154107422e-07,1.76101558498327e-05,Down
AC114291.1,-3.88594996670029,2.72162837600335,5.64696460196326e-07,1.8809118658786e-05,Down
AL121890.5,-2.66191122943344,3.1955979054096,5.88909258032693e-07,1.95295741227421e-05,Down
AC087477.5,-3.39659336584903,3.08103675015381,6.02969986537174e-07,1.99085417825658e-05,Down
AC120498.10,-3.84417529563764,2.91075460507197,6.40940814820243e-07,2.10702326124168e-05,Down
AL109741.1,-2.69493813843232,3.51326740065788,6.65764541289031e-07,2.17915398124951e-05,Down
AC004543.1,-2.9715467572603,2.85609761300101,6.71724018442051e-07,2.18918332044842e-05,Down
AL391807.1,-3.90076181046771,3.04884386773106,7.05409136824756e-07,2.28909806160171e-05,Down
AL049555.1,6.38767066213738,11.7320404854945,7.56685806295584e-07,2.44103332362253e-05,Up
PGM5P3-AS1,-4.65870965452006,3.00114795099535,7.58686458208299e-07,2.44103332362253e-05,Down
FAM66C,-2.43604290329404,6.36672135537039,7.7822981441758e-07,2.49330323169971e-05,Down
AC093425.1,-3.33191782822509,2.62117470921502,7.87351834902254e-07,2.51188490451306e-05,Down
LINC01579,-3.54598559734704,5.23247068194721,8.15147172983627e-07,2.58963351887782e-05,Down
LINC00511,3.89405850752411,12.0139558810645,8.48726736325061e-07,2.6850304825748e-05,Up
TMEM72-AS1,-2.7013312850271,3.15490843703681,8.90626100150925e-07,2.80584330968381e-05,Down
AL139022.2,-2.42871132031085,3.77337338464982,1.00861794392511e-06,3.15130589835443e-05,Down
FAM66D,-2.8729560193913,3.76878214993693,1.34260682713415e-06,4.12660578047209e-05,Down
AP002761.3,-2.28497228061219,4.85713043700982,1.39984548319573e-06,4.28511404795261e-05,Down
LYPLAL1-DT,-2.64806242844237,3.59836950851197,1.51019237601374e-06,4.57915550447421e-05,Down
EXOSC10-AS1,4.20421482867584,6.17902372756943,1.51134131932923e-06,4.57915550447421e-05,Up
AC099850.4,4.47662370247145,8.50060634755388,1.51407072625123e-06,4.57915550447421e-05,Up
PCAT19,-2.53992782061569,8.33876338235823,1.56849768155094e-06,4.72486492836919e-05,Down
AP000251.1,5.86692943109141,7.59596622856505,1.64501912210109e-06,4.9340285266618e-05,Up
AL513217.1,-3.20885722518232,3.22909519917566,1.6509842841495e-06,4.9340285266618e-05,Down
AC108860.2,3.97816614742431,8.14555147081741,1.73782552054385e-06,5.17310974835908e-05,Up
AC100861.1,2.98735927245209,8.77849944420388,1.82445271781036e-06,5.40968117622124e-05,Up
DNM1P35,-2.08001843018206,5.91125362902708,1.8537680195923e-06,5.47513281099116e-05,Down
DIRC3,-2.94571548796686,5.40517431114852,1.94900166956629e-06,5.73400841384854e-05,Down
AC005041.3,4.79161119875893,6.1925842078241,2.05572850268465e-06,6.0245593832553e-05,Up
AP001347.1,-2.75206927443838,6.60390812433067,2.22527569141394e-06,6.49625849528216e-05,Down
DSG2-AS1,5.05822125641311,5.63529852006023,2.30818066251429e-06,6.68808993636526e-05,Up
AC025165.1,-2.71025895897325,4.74090636055873,2.30867804971741e-06,6.68808993636526e-05,Down
LINC01359,-2.2823754653774,4.51270429345998,2.35015264053023e-06,6.78225347902637e-05,Down
AC025419.1,-3.38257780419081,3.24030989485235,2.40899852527117e-06,6.92564176789936e-05,Down
LINC01778,-3.5372676887266,3.62510996073042,2.79632876894824e-06,8.00872796288547e-05,Down
C1QTNF7-AS1,-2.81787396240503,3.08362362166637,2.95436775847064e-06,8.42942438558359e-05,Down
FGF10-AS1,-3.84684491637344,2.29494430051829,3.00377236778223e-06,8.53816649353439e-05,Down
AC011825.4,-2.56019446152088,3.42330355028529,3.06615566329207e-06,8.68284755436379e-05,Down
AC018529.1,-2.92137172753162,3.45524068790264,3.08324886582641e-06,8.69867338601249e-05,Down
AC016907.2,-2.01106237448865,3.28303160774531,3.11276007771003e-06,8.74928585411358e-05,Down
AP004609.5,-2.08884445056821,6.72726860329774,3.15114028325855e-06,8.80921441628088e-05,Down
CCND2-AS1,-3.46551934718047,2.53323782840813,3.16122295719383e-06,8.80921441628088e-05,Down
AC068831.2,3.04678728378234,5.5661697433357,3.1690336215162e-06,8.80921441628088e-05,Up
AC025176.1,6.17516167914314,5.96965290854129,3.27619169191611e-06,9.07373090936912e-05,Up
AC008763.1,5.61488868560654,6.95501155582203,3.33118187294313e-06,9.19235990559233e-05,Up
AC092807.3,-2.57810179754836,3.17366012931948,3.45597205439221e-06,9.50203807391253e-05,Down
AC103974.1,-2.60747410822346,4.35634349227278,3.61803944644342e-06,9.91159284585459e-05,Down
AC104083.1,-2.4210772461052,8.70560099636141,3.68533418825859e-06,0.000100594988438351,Down
LINC01588,3.71843916316853,8.14767834855174,3.94887381035985e-06,0.000107400844892557,Up
AC104051.2,-4.11949454005686,2.43275111800616,4.16618417800754e-06,0.000112501852035411,Down
AL022318.1,-3.30319950231935,2.79240720317529,4.25662258818611e-06,0.000114534958680695,Down
AL162511.1,-4.07784177613088,2.45596691493112,4.42589948253368e-06,0.000118557600085188,Down
AC107952.2,-2.30677735190515,5.57093232432618,4.43748192356941e-06,0.000118557600085188,Down
FGF14-AS2,-2.92200639460386,6.1742463843558,4.47806559601706e-06,0.000119220612575651,Down
AL034405.1,-2.86539735786704,2.69978250794623,5.24623971519597e-06,0.000139181819251216,Down
AC120049.1,-2.25707302097608,5.98498631655893,5.29649495909075e-06,0.000140023770579319,Down
NEXN-AS1,-2.34801781555213,3.86147089459772,5.45976304386264e-06,0.000143837172037092,Down
LINC02370,-4.20709887152929,2.40421303012977,5.67087466482985e-06,0.000148880150488814,Down
AC105942.1,-2.38549635281377,8.19874284613175,5.73140729199409e-06,0.000149948686971513,Down
AL445231.1,3.40181757242993,6.31481922659203,6.00639574129581e-06,0.000156063086597724,Up
Z98885.2,-2.50295281612272,3.09653135167206,6.28939370627518e-06,0.000162856526757351,Down
AC114284.1,-2.84210231636274,3.86618320304892,6.93628018525634e-06,0.000178385083267766,Down
SERTAD4-AS1,-2.51188904209111,8.33919998145372,6.9745653782119e-06,0.000178761657032746,Down
LINC02696,-3.13167166457042,3.95044844954879,7.18396362780809e-06,0.000183506584425193,Down
AC123912.4,-4.32650614581019,4.08174525539881,7.30738030319193e-06,0.000186030648055334,Down
AL139220.2,-2.45965129651975,6.72727586869575,7.34016028057973e-06,0.000186238093561958,Down
OXCT1-AS1,-2.22946460961986,4.94742760379732,7.37319883666729e-06,0.00018645069031452,Down
TBILA,4.19313044539017,8.05538846961008,7.40032636812473e-06,0.000186512892231304,Up
AC017104.1,-2.17232519099753,6.03995575435157,7.52509767567738e-06,0.000189027453574075,Down
AC096536.2,4.81524989977234,5.4270399759477,7.71277155157608e-06,0.000193100217554526,Up
