,logFC,logCPM,PValue,FDR,up_down
hsa-mir-4664,4.87721630669465,0.200566946058314,0.0154405608267237,0.0636401493533883,Up
hsa-mir-937,3.20217900931183,1.4912436036997,0.0155662357380333,0.0637275422832236,Up
hsa-mir-147b,3.95637065362795,1.45405219813028,0.0181923314017925,0.0711366804813682,Up
hsa-mir-556,4.85060433175805,0.172477062430899,0.0198382854217472,0.0770786885813109,Up
hsa-mir-18b,2.7769397098061,1.20390663055746,0.02068529202232,0.079358667507014,Up
hsa-mir-7-3,3.52751428392118,0.473230873109922,0.027168595876562,0.0980641626313777,Up
hsa-mir-3150b,4.61659128884713,1.96989117640656,0.0284887514843804,0.101626540382878,Up
hsa-mir-1266,2.54602781992168,3.69932852317415,0.0412531157029884,0.134568987052529,Up
hsa-mir-34b,3.22831938321743,2.47543768785705,0.045600596896955,0.144876896391367,Up
hsa-mir-7702,4.55777930057558,1.26639542529629,0.0487087625863358,0.151593597845229,Up
