id	filename	md5	size	state
00276f29-063d-4d1b-a0d2-7b141967d693	3e470548-0b61-4908-8c84-aef8604afc52.htseq.counts.gz	61b8b10baceedf3da81ec48e7348f4ef	249385	validated
00441a17-222f-43be-b710-7f5faf3a1aea	4757e3ac-44b7-4455-a663-fc07aaafc75e.htseq.counts.gz	6305a93d10bcbf67aea66a7e7315eee0	251299	validated
007f01da-6985-4199-a73a-9b7d16a9e233	9ba4991f-6f7a-4493-b557-3d196ed26df0.htseq.counts.gz	88b9683357ec6d983cbbd76aa898983c	258405	validated
007f19f5-5e89-4fb9-a1b8-b2322a2ff7b9	93f8a606-0f7c-4c81-a398-c157a7fa2f55.htseq.counts.gz	4620eb4121fea1dace019ac324bad9b9	241099	validated
024384f4-f0e4-411f-8527-3f38d33efb6f	4a558462-8356-4d8d-baa6-4ae3f3ebea71.htseq.counts.gz	4a2ffbe94a0762eb407461f7ab4acd2f	251626	validated
036d754a-fa9a-40b2-b403-5c251e2ea1f3	87da3fe3-53aa-44a5-87a5-0f651861e985.htseq.counts.gz	50cd69d885e28e5c6ea73143f44af259	247711	validated
03dd3cdb-f6f1-467d-9d24-14e974d21fc7	73b59cac-c9de-415b-a64e-81dcb64fc024.htseq.counts.gz	42023b106c4e4e0e222b73e6181f45ec	249285	validated
055c6d5d-84ba-4d11-ae03-4b1b15d5791e	8fa8f130-147a-4be2-a8c9-4656995acaa7.htseq.counts.gz	a3029ade37d08d48fd040d18e977a067	247854	validated
05ce8de5-bac2-4da7-a12d-ef6fe25d92eb	4a881204-57db-425b-b3e5-9b825e7cce59.htseq.counts.gz	8cfb2a2f3d98be9d27896608ce974c9b	253936	validated
066a583e-9b68-4b3a-b993-f721b69b7ea9	186bbe47-3c00-4501-b22f-cb92c2269cb1.htseq.counts.gz	27808ce0fced9f547a26dad6d84cf91f	251648	validated
070cd88c-e780-4d3c-8495-b9d1a2766bb8	66c91826-105a-4b8d-8688-226883a9ba38.htseq.counts.gz	65cf9f8da8fd10c7d5a5f3ccf60cea2e	252411	validated
07301137-995c-49ff-8238-a14841f25106	a02e1c12-4ac1-4926-b55f-b4ac80ca7095.htseq.counts.gz	b3362836407edacc9f21597f8b27fc84	254712	validated
0a7860c9-09dd-408a-af1c-d8ac3aa7fd28	4c7e7918-aad4-4ea0-a2fd-0965ee1ffbec.htseq.counts.gz	59275a70a344c7a55e7374d503f476ae	255455	validated
0b310699-48da-4a28-896b-5a2d107beb37	0c32ae43-a5fc-4e59-b25e-bafb15ef96d3.htseq.counts.gz	a9a9e3e8b9a16d9273410d20d6261208	251082	validated
0bf72111-cbfe-4d06-9db1-d04353eff0b7	223835ac-c9a7-4846-824d-9b01441f14ee.htseq.counts.gz	a2672f1042c5b4f4fbe2a72cf02e2146	249055	validated
0d41b8dc-ca25-43b4-942b-7f091dd2e66a	6c8fc35f-d650-41fc-93ed-6e41dfa26680.htseq.counts.gz	1dc3048606eba71f08f0a676a1d0bd49	252020	validated
0dc6ef69-5c6b-4826-9bb8-3a57ccfa42a3	e6e40789-f37d-4dc5-a4d5-6c1bc952d92b.htseq.counts.gz	69ee3d6231ec65890aff86061bff6de7	249514	validated
0ef5e74b-0fb6-4e21-b936-5c688aaf48ca	b9bc75e5-c9ed-4d9c-a881-597a24bc24c1.htseq.counts.gz	dec0cc10e45823e8035c65b80d647311	250908	validated
0f7feee1-374f-425c-b465-59a812a08567	08c23975-acc1-4e06-9d4a-8fbcb780e6b9.htseq.counts.gz	71afb577acad25119b79f6c567bc255c	256856	validated
102bbc58-2329-4cea-af94-ae15ed75d848	ffe5aa43-baad-4091-b41b-8ff9e02fdcca.htseq.counts.gz	b398e8da077213cdd63a52ead41d9ce7	251802	validated
109b0196-dd94-474c-a0e7-18aa7aeec2da	233c27d4-0c99-4f39-9444-0a99ab9f70cc.htseq.counts.gz	825050329882b48067bc52b576048626	249535	validated
117a8d8a-c8d8-4542-9619-1f85d5eaa123	7b4b6786-2eb3-4160-a66d-58849dc4fcba.htseq.counts.gz	9cff24ccba9fbd98d5f7f89474347da1	253336	validated
13178907-6e27-477b-8283-0a735e1b5b23	767f7fa5-7ff7-46cc-8105-b8250a4ba119.htseq.counts.gz	2149fa90bdbbd9f069c9ec02472088d1	253819	validated
137dd625-b6b8-4fca-a727-71e19dc77b2c	ac0f298f-7c34-4858-bae6-3e7c7981dd03.htseq.counts.gz	65d99e655ce6adde914bf2d6bd83e87b	252064	validated
1614a090-2f38-49d1-8241-a097a8bff80a	0ab7a8af-1cee-430c-9b5e-d122266e043b.htseq.counts.gz	0463d3168f22279c1e65e1cc7958f6e7	254608	validated
16bf0b67-9853-44b6-a9d8-6cf2e7a8e139	0124636c-baae-48cc-82c1-26ebcebfba42.htseq.counts.gz	1ee3ba0aaac62c558efe7e4a55351134	251776	validated
16cd82a3-4451-4b46-a60f-a096a5b11b70	7a9228b6-e6c4-477e-bad8-f39851ab2ec8.htseq.counts.gz	3c151efb461985d6ce0cfa44220c78b6	254038	validated
1779ee54-55c3-4a01-b3ce-5c8385533518	9c667929-d2a5-43c1-ab9d-d767e5db621b.htseq.counts.gz	f7120fb11b956787f293f2e04db8b47a	251477	validated
1795a367-1f7f-4d18-9790-067e402c654f	0bfc7c6b-a342-4446-bc0e-01256e13a8e4.htseq.counts.gz	75b87cb8c20d8ea1fac33504639c9eda	250302	validated
17eed491-8c3f-4cfe-8237-08a0a67d9a84	ab30d37c-c510-496f-a704-6687ea39b847.htseq.counts.gz	4db2412546fc2db2a09d82def7975b5d	249569	validated
1b45856c-b81e-4b4e-b0a8-5273311b60c8	801aa6ef-f212-4899-85d6-ed42294589f0.htseq.counts.gz	4a927685432c18aecdde869fb9f745b2	251330	validated
1c1ba24b-68e3-4447-8899-badc4f9cc2e8	9fc4c3b5-c1d4-4dc3-8aa4-1f06901c1f65.htseq.counts.gz	17526a2e601ba7a4c422b28a1f9b8d38	252443	validated
1d2315d9-0c16-4a13-abb2-260e89b518fd	d8eb799e-f4bc-438f-8788-c4e40c22b6d4.htseq.counts.gz	be2c4b358ad81eacc854dd0f9c92947a	252295	validated
1dba8914-3c1b-4d45-9154-c2288b9e5ae4	c803e80a-1649-4ca3-a485-a7db8f304aa2.htseq.counts.gz	123fc6f14180f3a9a68525ca4a62a786	251666	validated
1e148262-b7e8-42cf-8f33-9dc7283f8c15	061d6431-c4f7-4386-8ace-cf5dd6ab6998.htseq.counts.gz	6ef618552245fc9bb86c768d3d1aeb02	252719	validated
1e94af96-f150-4196-aa36-17ec7beb5e0d	9c9ee7b5-0227-43c2-be55-909751dbd61a.htseq.counts.gz	12eb6bf88fbf7c708abd9bf296a90b34	252243	validated
1eef31ee-22e3-4e10-b881-452af700520c	ba59bc67-6e39-4ba7-a53d-a93693109a96.htseq.counts.gz	8624b350260aca0374ea5b4114b85047	248505	validated
1f109ebe-3ab4-4a91-9acf-1c16c4987b6f	049c72d7-de5f-4476-94db-b2a067412bdb.htseq.counts.gz	e18ee60dc1872fea79b9b0be63cc1ca3	256142	validated
234c5584-44e5-4fae-bc28-58df55b19215	aecb6e47-d087-4efc-bcc5-4cd79e36ff76.htseq.counts.gz	1e62d741ca79e5465e6c5d14ff6ab195	252659	validated
24b9bdfd-3c74-492d-8b31-edb70a92108a	1ddb98e9-2426-4465-b488-c091e5d80951.htseq.counts.gz	23991666ed913a13a3ff183bb6b156c9	253161	validated
24ed4b86-b2ae-464b-81f6-f14d7f883abb	0918c2f9-d5c3-41e4-a7b3-2d3717d57554.htseq.counts.gz	fa1ad34345e552e4dba374e2ac72404b	252601	validated
2639c8ac-2b62-4d23-bb3b-3ed7c6753f27	e4544bfc-668c-4782-bc4a-760fb51fa62b.htseq.counts.gz	7ae2e2d975c29f272263527886d7e44c	249082	validated
26c63cc6-11e3-4793-bde2-def45fe9d911	d83e5733-fea3-4677-a83c-e58c1a245e78.htseq.counts.gz	ecbd571008ddda824ce5b2e44bd7bfbc	257821	validated
275f1da4-9ad6-4c77-a566-c8a5f3e2f353	e32b54ab-6cd8-4a52-ae22-0265c5a5c473.htseq.counts.gz	29e3f2c46a0585f21b1d74165bbff9db	252949	validated
27ba947e-77db-4636-9b2d-cceaa7444af6	f6791ad4-6283-4743-a6cf-c1c82dccc05f.htseq.counts.gz	924e8aba34bbbc955a833802c0b8a302	247443	validated
27ecbd3a-5db6-45c6-965d-55adb2c06b3d	97604bc9-51ff-4a0a-b4a2-cecf70e6e16d.htseq.counts.gz	17d4244846854de45b70e777c12de36a	249578	validated
280044fb-f633-4fe9-94fb-ccca42dac829	5809e012-528b-4fe9-81f0-7788d17361af.htseq.counts.gz	d2b69af338e11bed0f698095daf7cd30	249269	validated
283dc84d-da86-4381-9a92-421407195f9a	9b9647f1-6979-429f-8518-9474142fc449.htseq.counts.gz	9e94eca1188b67c26fd2d1823f873fcf	252765	validated
2985fa71-3e42-4e38-ac0a-a45f100599a7	5e09ae1d-f186-481b-989e-264039b99744.htseq.counts.gz	c45085d45406d4de726eebc00a51d044	251593	validated
299e3f6b-3245-44f5-ada2-5f1aa490f9fc	3d88319e-6423-48be-92a7-fe69326c8fae.htseq.counts.gz	fae9c09981d7caf7161c962e60ee4161	250255	validated
29cbd8da-032a-455d-80c0-94715248489a	22eb2994-9a49-42d7-8ce4-47753ce3d605.htseq.counts.gz	0b76cf0148076d019d59e6403b9ea6e1	252077	validated
2a7e616c-c4d0-42a3-bb17-bf5697f1429d	123145db-4d34-4540-a577-dd5ae82c59ab.htseq.counts.gz	5af17502078c612323d62958bb63f6a8	257106	validated
2acd2003-d02d-494c-ba08-88010ba86e63	fca8d596-f774-45d5-8d8d-713d7d9e9f32.htseq.counts.gz	9b609361783defc1da2d4b91db2d319e	253199	validated
