,logFC,logCPM,PValue,FDR
hsa-mir-10b,-3.84074325971611,15.1912525337778,1.02068197434394e-34,6.22616004349803e-32
hsa-mir-145,-4.30947020833728,10.6844792520635,7.4767920894429e-34,2.28042158728008e-31
hsa-mir-140,-2.81003327494196,9.75559037921635,1.30427321142173e-27,2.65202219655752e-25
hsa-mir-133a-2,-4.57280190971236,2.80782318618811,1.77246311108754e-23,2.70300624440849e-21
hsa-mir-133a-1,-4.45364958158111,2.88648802622055,2.62466039962155e-21,3.20208568753829e-19
hsa-mir-1-2,-4.14773663113335,3.47960118238811,4.09241920001353e-17,4.16062618668042e-15
hsa-mir-1-1,-4.10809630462098,3.39960033005436,1.35655429838719e-16,1.18214017430884e-14
hsa-mir-143,-3.20245253163846,16.3012622802404,7.05065603207581e-15,5.3761252244578e-13
hsa-mir-139,-2.7729475639952,4.94935654195092,1.39288371828747e-13,9.4406563128373e-12
hsa-mir-100,-3.27348439232885,11.5396677313671,1.79844487294065e-11,1.0970513724938e-09
hsa-mir-129-2,-3.96128193448519,1.84427448414955,2.1361282494906e-11,1.18458021108115e-09
hsa-mir-129-1,-3.97011125370427,1.70737779792831,5.08675517369647e-11,2.58576721329571e-09
hsa-mir-133b,-3.8807006374569,0.997034342712005,1.409659005054e-10,6.61455379294571e-09
hsa-mir-125a,-2.07922888665519,9.20537229962973,5.92712175610194e-10,2.58253162230156e-08
hsa-mir-141,5.10940079840983,11.0264932210473,7.28638718634014e-10,2.96313078911166e-08
hsa-mir-28,-1.77509796602588,12.0881469850612,2.693234436606e-09,1.02679562895604e-07
hsa-mir-125b-1,-2.66188618101829,8.70755448095212,5.72515866416399e-09,2.05432163831767e-07
hsa-mir-200c,4.44569445182588,13.4644344138575,1.08262183092702e-08,3.66888509369714e-07
hsa-mir-320a,-1.84084943848956,9.43753507915759,1.82102139724581e-08,5.84643711747339e-07
hsa-mir-204,-4.11026922806172,3.28255946383996,4.83933107212512e-08,1.47599597699816e-06
hsa-mir-1468,-2.33756649793069,2.10766729816194,5.16409143109941e-08,1.50004560617649e-06
hsa-mir-96,5.8494397843398,4.88233738219038,6.63684541356268e-08,1.84021622830601e-06
hsa-mir-125b-2,-2.55983350546195,8.86945512091339,7.8673053941403e-08,2.08654621322851e-06
hsa-mir-381,-2.37946277355073,5.44603197068391,1.24796307656883e-07,3.17190615294578e-06
hsa-mir-6892,-2.32468058383349,1.06488430214727,2.07382991235779e-07,5.060144986153e-06
hsa-mir-504,-3.1667243253696,-0.358482338413254,3.32072425238516e-07,7.7909299767498e-06
hsa-mir-99a,-2.86963487341743,10.092637524808,6.59982247587381e-07,1.46372673146699e-05
hsa-mir-101-2,-1.91649792481642,12.380346774779,6.71874565263534e-07,1.46372673146699e-05
hsa-mir-183,5.57723010895397,13.0166732450884,7.30085510318334e-07,1.53569710791098e-05
hsa-mir-101-1,-1.90080316141342,12.3670645959652,8.78887585396008e-07,1.78707142363855e-05
hsa-mir-195,-2.18551902590832,5.09600284545488,1.00680216672132e-06,1.98112684419356e-05
hsa-mir-151b,-2.08420092697932,0.704541884973303,1.47639605425598e-06,2.81437997842546e-05
hsa-mir-887,-2.08553879646973,1.5875106162911,3.59239625384318e-06,6.64049004498284e-05
hsa-mir-130b,3.18107706292695,5.51729249530247,4.04939783242797e-06,7.26509611112077e-05
hsa-mir-200a,4.01843165982958,10.6667536377737,4.71360097962773e-06,7.99310324799494e-05
hsa-mir-362,-1.88688131402175,4.00300200275306,4.71724126111177e-06,7.99310324799494e-05
hsa-mir-15b,2.59169416259963,8.84598433964363,5.1655191704891e-06,8.21089626790091e-05
hsa-mir-497,-1.98203414328377,4.09703314181351,5.16552992831773e-06,8.21089626790091e-05
hsa-mir-182,4.56102547067103,14.2831525203334,5.24958941718255e-06,8.21089626790091e-05
hsa-mir-3622a,-3.27639625527532,-0.605821513999698,5.56518472044921e-06,8.48690669868505e-05
hsa-mir-3934,3.93041532996942,2.45508134840657,9.27556980393213e-06,0.000138002380009722
hsa-mir-429,4.16272729932325,7.65009919644964,9.87805178650238e-06,0.000143466942613487
hsa-mir-1976,2.50794200042283,3.56411350993115,1.18087115244086e-05,0.000167518930927657
hsa-mir-106b,1.87239291456081,9.86671309026385,1.5032552585237e-05,0.000204680251797417
hsa-mir-6507,-3.21268106302384,-0.254462814529048,1.50993628375144e-05,0.000204680251797417
hsa-mir-205,7.95148592405224,13.7899056623612,1.68635508376221e-05,0.000223625348064119
hsa-mir-873,-3.78773081241431,-0.117904412368525,1.74117240270362e-05,0.00022598195013813
hsa-mir-210,4.9802055059363,10.3734257781622,2.68692231833785e-05,0.000334802381717612
hsa-mir-3613,2.61291037835647,4.11411852400838,2.68939618101033e-05,0.000334802381717612
hsa-mir-32,2.19746616800169,5.5340514915943,2.91307716947701e-05,0.000354721481111494
hsa-mir-942,2.64950369981284,3.80662308664176,2.965704186342e-05,0.000354721481111494
hsa-mir-1307,2.17776002624789,10.4967435518332,3.11187180484184e-05,0.00036504650018337
hsa-mir-1245a,-2.11302185909627,0.999580720899565,3.22153744799256e-05,0.000370780725146314
hsa-mir-142,3.6204905876699,11.3349905800096,3.32972461086819e-05,0.00037613555789437
hsa-mir-16-2,2.2125565136777,8.71488191334736,4.4647218839421e-05,0.000495178245309942
hsa-mir-18a,3.07478585277892,4.79639711773234,4.59791294635706e-05,0.000500844088799609
hsa-mir-26a-2,-1.27423404079901,10.1257879580261,6.93047683069753e-05,0.000741682608197455
hsa-mir-26a-1,-1.26532952358531,10.1174223413135,8.46883730307988e-05,0.000890688061185988
hsa-mir-16-1,2.1094166158584,8.65346201456497,8.74662223646488e-05,0.000904311790549759
hsa-mir-31,5.71880742880948,7.09168307106841,0.000110402142841294,0.00112242178555315
hsa-mir-218-1,-2.04802666715652,4.36145873268111,0.000124913990211198,0.00124552992546859
hsa-mir-3926-2,-2.18314875824286,-0.00664178445348917,0.000126594844883693,0.00124552992546859
hsa-mir-379,-1.90741681200132,9.23691919851293,0.000154393718386523,0.00149492330501236
hsa-mir-218-2,-2.03969629681197,4.31094749711263,0.000161308261160774,0.00153746936418862
hsa-mir-99b,-1.46605969522069,14.2248002622779,0.000166793637443506,0.00156529413600828
hsa-mir-203b,4.96491448896432,7.27665213001959,0.000265996744821847,0.00242778030758401
hsa-mir-21,1.89896348850059,18.5784191581582,0.000266657837062506,0.00242778030758401
hsa-mir-4746,2.96918967531032,2.99761576385225,0.000271556901607123,0.00243602514676978
hsa-mir-126,-1.156724305431,10.6114333930742,0.000276411024890926,0.00244363369831108
hsa-mir-203a,6.02342575218229,15.8404001660195,0.000282796983990553,0.00246437371763196
hsa-mir-29a,-1.43059849492039,12.6789074493532,0.000333518100471281,0.00286543720123213
hsa-mir-23b,-1.3534324964139,10.4955128765453,0.000341858192850777,0.00289629857831908
hsa-mir-200b,3.06586574319239,10.3195527409958,0.000359478946303241,0.00300386516773941
hsa-mir-383,-3.7520273500775,-0.712572310727385,0.000448473477687263,0.00369687596471933
hsa-let-7c,-2.13796656115485,11.7943238820527,0.000479055753237787,0.003896320126334
hsa-mir-299,-1.77882376668204,1.99062523787131,0.000498053768840978,0.00399753682885522
hsa-mir-135b,4.01071091821088,6.03418541143525,0.000512833931178293,0.00406271036387999
hsa-mir-542,-1.34385165471056,8.26433115159323,0.000601463410336297,0.00470375231160437
hsa-mir-33b,3.75607043362317,2.93024256380913,0.000614252403065068,0.00473354525175254
hsa-mir-940,3.3083081025115,2.11305429822977,0.00062495688484952,0.00473354525175254
hsa-mir-1298,-3.43674495978642,0.378951273453675,0.000628552730150747,0.00473354525175254
hsa-mir-944,8.14997740264991,6.68437909516568,0.000718155550242525,0.00534237665424318
hsa-mir-2277,3.48390130610907,1.02914286827489,0.000942518281166104,0.00692694158447378
hsa-mir-3614,3.72064099253135,3.02396450644897,0.00103279355381283,0.00750004842649793
hsa-mir-127,-1.65109921959913,9.1800627675881,0.00119871938566197,0.0086025744147506
hsa-mir-199a-1,-1.44375936200302,10.1746474292501,0.00141870696427926,0.00998739600688409
hsa-mir-224,3.63615519279026,7.63789168452149,0.00143480730071563,0.00998739600688409
hsa-mir-93,1.70716957442143,12.8644896723646,0.00144080466984557,0.00998739600688409
hsa-mir-374b,-0.938587663865679,5.96936029853192,0.00149466470850786,0.0102443311482
hsa-mir-106a,3.65805873017073,5.54631396807522,0.00156055966386421,0.0105771266106352
hsa-mir-5000,-1.31188008929658,1.58146098140298,0.00159395093990762,0.0106847260806994
hsa-mir-876,-2.97398744563408,-0.699538079576813,0.00178491008766314,0.0118347299290708
hsa-mir-495,-1.7042445067222,2.69376640427364,0.00189201640056183,0.0124100000466959
hsa-mir-363,4.10251674069528,5.93289205258826,0.00200859914161269,0.0130308156018711
hsa-mir-1277,2.72229107205522,0.832645004151186,0.0020293893150455,0.0130308156018711
hsa-mir-425,2.14403189616644,8.13111575590493,0.00221182023058788,0.0140542743818605
hsa-mir-30b,-0.991728334075786,8.46523083935645,0.00229156764780872,0.0144108893315806
hsa-mir-328,-1.1550893473006,4.19914043329002,0.00242417014214335,0.0149394580141984
hsa-mir-502,-1.04466314448327,3.61594410275511,0.00242460056296006,0.0149394580141984
hsa-mir-20b,4.60850153663144,6.94968068649205,0.00265537359852476,0.016197778951001
hsa-mir-6511b-2,-1.29978028234532,0.344979779626244,0.00295269588315906,0.0178331137497726
hsa-mir-331,1.37553135577467,4.65070130361264,0.00298954946007687,0.017878678143597
hsa-mir-532,-1.10319569330331,9.74360655819837,0.00304339273576932,0.0180239763963037
hsa-mir-199a-2,-1.32169872620189,10.8879599102093,0.00313222824636235,0.0183717233680869
hsa-mir-574,-1.0003067546356,6.07672684579807,0.00332576480900063,0.0193211098427655
hsa-mir-181d,-1.32850406988067,4.21129881670672,0.00344600151343923,0.0198307634263956
hsa-mir-185,1.72292150429085,6.76527079322409,0.00349926072664869,0.0199490564790252
hsa-mir-7706,2.1525613001052,1.45471893482728,0.00360938109641293,0.0203863191556656
hsa-mir-877,3.07481532914069,1.68772288898821,0.0036543310129061,0.020450843283236
hsa-mir-642a,3.18917715702557,1.50091854362006,0.00377569696102675,0.0209379558747847
hsa-mir-337,-1.55771777739184,4.53175404166067,0.00410506403892344,0.0224101491655509
hsa-mir-411,-1.58255001200319,2.84186474645096,0.00411465033859296,0.0224101491655509
hsa-mir-766,1.76288040761105,3.4225020011977,0.00464838801305628,0.0250930680350826
hsa-mir-3651,3.80470445840931,1.2862175242644,0.00483571389035202,0.0258753111676731
